id,planet_name,star_name,star_type,planet_type,orbital_distance_au,orbital_period_days,day_length_hours,axial_tilt_deg,mean_temp_c,temp_range_c,gravity_g,escape_velocity_kms,atmospheric_pressure_atm,atmosphere_primary_gases,oxygen_percent,co2_percent,methane_percent,water_presence,surface_composition,dominant_biome,albedo,cloud_coverage_percent,storm_frequency,seismic_activity,magnetic_field,radiation_level,moons_count,rings,native_biology,invasive_risk,rare_mineral_index,energy_harvest_potential,terraforming_difficulty,colonization_cost_index,strategic_value_rating,primary_hazard,viability_class,exploration_log,environmental_report,incident_report,image_prompt,environment_type,name,description,settlement_index
11,Shadowmere,Minkar Phi-3,White dwarf remnant,tidally locked,0.0847,7.18,172.2,0.3214046793539761,-156.0,89.0,0.7,5.82,0.53,H2 75%+He 20%+CH4 5%,0.0,0.0,5.0,subsurface,metallic,crystalline ridge networks,0.43,37.0,frequent,moderate,strong,extreme,2.0,no,none,2.0,78.0,extreme,9.0,87.0,72.0,radiation,Research Outpost Only,"Planetary insertion complete. Weather systems here are violent beyond projections. We've already weathered two storm fronts with wind speeds exceeding two hundred kilometers per hour. The atmosphere is dense, pressure at two-point-one standard, composition heavily nitrogen with oxygen at acceptable levels. The dominant biome appears to be grassland analogues - tall, fibrous plants that bend but don't break in the constant wind. Purple-tinged vegetation suggests different photosynthetic chemistry than Earth baseline. We've observed several large fauna at distance, quadrupedal herbivore analogues moving in herds. Predator species likely present but not yet documented. The biodiversity here is remarkable. Dr. Okonkwo is cataloguing species faster than we can process samples. Water is abundant in river systems and scattered lakes. Soil composition is rich in organic matter. This world could support agriculture with minimal modification. Temperature range is challenging but manageable with proper infrastructure. The day-night cycle is rapid, creating frequent thermal shifts. Magnetic field is moderate, providing some radiation protection. Primary hazard assessment: weather volatility and unknown biological threats. Establishing fortified research camp with storm shelters. Initial colonization assessment: promising, pending long-term biological compatibility studies. The potential for sustainable settlement here is significant. Recommend priority status for development.",192.32980838928205,67.20046572818173,"Wide-angle view of a rust-colored rocky desert under twin suns casting long shadows across crystalline formations, with a small survey drone silhouette in the foreground and pale green auroras shimmering in the dusty atmosphere",Volcanic,Shadowmere,"A tidally locked metallic world orbiting a white dwarf remnant, Shadowmere presents an extreme environment of perpetual twilight, violent hydrogen-methane storms, and lethal radiation that demands specialized shielding for any human presence. Its crystalline ridge networks and subsurface water reserves harbor no native life, yet the planet's abundant rare minerals and extreme energy-harvesting potential make it invaluable as a research outpost for advanced materials science.",50.16
12,Solara Minor,Fomalhaut B,K-type orange dwarf,terrestrial,0.4286481783371804,3.419281840630163,35.92858811277488,0.6571628653429585,1.0,42.25988721152593,0.5296086178152245,10.880660379737952,0.3073686035855064,N2 65% O2 18% CO2 12% H2O 5%,18.0,12.0,0.0,global ocean,volcanic,phosphorescent tide zones,0.6128595740243619,0.4384614080364949,frequent,high,moderate,low,0.0,no,complex,3.0,78.0,high,8.0,92.0,75.0,seismic,Not Viable,"Touch down confirmed. This place is hell with a view. Atmospheric pressure at three-point-seven standard - we're effectively underwater in terms of suit stress. The sulfur dioxide concentrations make every seal critical. Volcanic activity visible on three horizons, with lava flows creating new geography in real-time. Surface temperature fluctuates wildly between thermal vents and shadow zones. The sky burns orange-red, choked with ash that our filters are already struggling to process. Seismic sensors registered four significant tremors in the first hour alone. Despite the hostility, there's something mesmerizing about the raw geological violence on display. Mineral scans are off the charts - iridium, platinum group metals, and several compounds we can't immediately identify. This world is a treasure trove if we can survive long enough to extract anything. Radiation levels are elevated but manageable with shielding. No biological activity detected, which is unsurprising given the conditions. The science team is excited; the engineers are calculating survival odds. Establishing hardened research station in a lava tube system for thermal stability. Mission duration limited to two weeks maximum before we risk equipment failure. Every moment here feels borrowed.",193.74135703209356,99.02049871812518,"Dramatic surface shot of black volcanic plains with glowing lava rivers cutting through obsidian rock under a thick orange haze, featuring a small habitat dome for scale and constant lightning illuminating the ash-filled sky",Volcanic Geothermal,Solara Minor,"A volcanically active terrestrial world orbiting an orange dwarf, Solara Minor blazes with raw geological power and exceptional mineral wealth beneath its toxic, ash-choked atmosphere. Its extreme seismic activity and thermal extremes make colonization a distant prospect, yet the planet's rare element concentrations and potential subsurface geothermal energy reserves position it as a critical long-term research and resource extraction target.",67.1
13,Frostmarch,Merak Chi,Binary system (F+G),ocean world,0.95,187.0,26.5,18.5,12.0,28.0,1.1,5.8,1.2,CO2 85% N2 10% SO2 5%,18.0,68.0,0.0,seas,ice,bioluminescent tide pools,0.28,45.0,seasonal,moderate,strong,low,2.0,no,complex,6.0,42.0,moderate,3.0,45.0,72.0,unknown_anomaly,Immediately Colonizable,"Landing sequence completed without incident at local dawn. First impressions: this world is alive in ways the probes couldn't capture. Bioluminescent organisms carpet the coastal regions, creating waves of blue-green light that pulse in response to our movements. Dr. Kesh theorizes a planet-wide mycelial network may be coordinating these responses. Air quality is breathable with minimal filtration - oxygen levels at eighteen percent, nitrogen dominant, trace noble gases. The ocean stretches to the horizon, darker than Earth's seas, with periodic eruptions of what appear to be thermal vents creating steam columns kilometers high. We've catalogued seventeen distinct species in the first six hours alone, all invertebrate analogues. The magnetic field here is remarkably strong, playing havoc with our navigation systems but providing excellent radiation shielding. Gravity at one-point-one Earth standard feels heavy after the journey. Establishing research camp on the basaltic shelf overlooking the primary tide pool system. Water samples show complex organic chemistry. This could be the discovery of the decade. Recommend immediate escalation to xenobiology teams and extended mission duration. The potential here is extraordinary.",205.2122036438978,148.25039691434682,"Cinematic shot of a tidally locked world's terminator zone with half the sky blazing orange and half in deep purple darkness, showing a rocky transition landscape with a small outpost silhouette and perpetual storm clouds on the horizon",Hyperbaric,Frostmarch,"A binary-orbiting ocean world where bioluminescent organisms create cascading waves of blue-green light across vast tide pool systems, suggesting a planet-wide mycelial coordination network. Despite its icy name, Frostmarch maintains temperate seas teeming with invertebrate analogues and thermal vent ecosystems, offering exceptional scientific value and immediate colonization potential with moderate terraforming requirements.",74.55
14,Opaline,Kapteyn's Star,White dwarf remnant,tidally locked,1.5227983908146818,5.502595758107014,23.24769594481761,0.5915574648587618,124.94027479925988,44.92577976786544,0.7915440031150692,,1.057522240983464,N2 80% CH4 15% H2 5%,0.08,1.25,80.0,none,volcanic,Sulfur Vent Fields,0.7103321261428367,28.5,seasonal,moderate,moderate,extreme,2.0,no,microbial,2.0,78.0,extreme,9.0,87.0,72.0,toxic_air,Research Outpost Only,"Touch down confirmed. This place is hell with a view. Atmospheric pressure at three-point-seven standard - we're effectively underwater in terms of suit stress. The sulfur dioxide concentrations make every seal critical. Volcanic activity visible on three horizons, with lava flows creating new geography in real-time. Surface temperature fluctuates wildly between thermal vents and shadow zones. The sky burns orange-red, choked with ash that our filters are already struggling to process. Seismic sensors registered four significant tremors in the first hour alone. Despite the hostility, there's something mesmerizing about the raw geological violence on display. Mineral scans are off the charts - iridium, platinum group metals, and several compounds we can't immediately identify. This world is a treasure trove if we can survive long enough to extract anything. Radiation levels are elevated but manageable with shielding. No biological activity detected, which is unsurprising given the conditions. The science team is excited; the engineers are calculating survival odds. Establishing hardened research station in a lava tube system for thermal stability. Mission duration limited to two weeks maximum before we risk equipment failure. Every moment here feels borrowed.",,,"Dramatic panorama of crimson crystal spires jutting from a silicon-based desert under a green-tinted sky, with electromagnetic storms creating visible plasma arcs between formations and a survey drone for scale",Crystalline,Opaline,"A methane-choked volcanic hellscape orbiting a white dwarf remnant, Opaline blazes with extreme radiation and seismic violence that makes it nearly uninhabitable—yet its abundance of platinum-group metals and exotic minerals makes it irresistible to resource-hungry exploration teams. Only the most hardened research outposts can survive its toxic atmosphere and thermal extremes, operating from reinforced lava-tube shelters on strictly limited rotations.",53.6
15,Proxima Ventus,Proxima Centauri,K-type main sequence,terrestrial,0.1879,4.78,25.55,0.77,86.6,13.01,0.78,16.14,2.12,CH4 70%+C2H6 20%+N2 10%,0.08,0.47,70.0,subsurface,metallic,crystalline methane flats,0.8,90.15,seasonal,extreme,moderate,moderate,4.0,no,none,2.0,8.0,high,8.0,,23.0,seismic,Research Outpost Only,"Successful landing despite magnetic anomalies that nearly scrambled our guidance systems. This planet defies easy categorization. The ruins - and they are definitely ruins - stretch across the valley floor in geometric patterns that suggest intentional design. No biological signatures, no radiation beyond background levels, no obvious hazards, yet everything about this place screams abandonment. The structures are composed of a metallic alloy that resists our analysis tools. Age estimates range from ten thousand to ten million years. Atmosphere is thin but breathable with supplementation. Gravity is light, point-seven-eight standard, making movement almost bouncy. The star is a stable K-type, providing consistent illumination that casts long shadows across the archaeological site. We've documented what appear to be transportation networks, residential blocks, and a central structure that might have been administrative or religious. No bodies, no artifacts beyond the architecture itself. Dr. Yuen suggests a planned evacuation rather than catastrophic event. The silence is oppressive. Wind whistles through empty corridors. We're proceeding with extreme caution, documenting everything. This discovery will rewrite our understanding of galactic history. Recommend immediate dispatch of specialized archaeological teams and extended mission parameters. Whatever civilization built this deserves to be remembered.",174.9164752232387,95.99120634993042,"Wide-angle scene of a high-gravity super-Earth with compressed vegetation hugging the ground, dense fog rolling through metallic-blue mineral deposits, and a reinforced landing craft dwarfed by the massive landscape under a bright white sun",Relic World,Proxima Ventus,"An enigmatic relic world bearing geometric metallic structures of unknown origin scattered across its methane-rich surface, suggesting a civilization that vanished eons ago. Extreme seismic activity and a thin, exotic atmosphere make this a compelling archaeological site despite its hostile conditions.",48.51
16,Zephyria-7,,Brown dwarf companion,terrestrial,0.2457120717986716,6.819176129545971,111.65795291934376,0.8103792726588475,-112.0,106.12,0.464037519312044,14.673357300194926,1.9005172102298715,N2 88% Ar 10% CO2 2%,0.0,2.68214458403057,0.1924962267402536,subsurface,ice,wind-carved canyons,0.2651041714986645,0.5692535141045256,constant,extreme,strong,high,1.0,no,unknown,2.0,31.0,moderate,,87.0,34.0,radiation,Not Viable,"First contact with surface at coordinates transmitted. The ice extends infinitely in all directions, broken only by pressure ridges and the occasional cryovolcano venting subsurface gases. Temperature readings at minus one-hundred-twelve Celsius. The star hangs low and dim, providing barely enough light to see by. We're running thermal generators at maximum to maintain habitat integrity. Preliminary drilling operations have begun - the ice layer is estimated at forty kilometers thick before reaching the subsurface ocean. Sonar mapping suggests liquid water beneath, possibly heated by tidal flexing from the parent gas giant visible as a massive crescent dominating the sky. The auroras here are constant and spectacular, green and violet curtains dancing across the methane-tinged atmosphere. No surface biology, but the ocean below remains the primary target. Dr. Shen believes the conditions could support chemosynthetic ecosystems around hydrothermal vents. We've deployed autonomous submarines through the drill shaft. Waiting for telemetry. The isolation is profound - our nearest support is three months away. This mission will test every protocol we have. The ice creaks and groans constantly, a reminder that we're guests on a world that doesn't care if we survive.",,,"Wide-angle shot of a cave-riddled limestone landscape with underground oceans visible through sinkholes, purple-tinged atmosphere from methane content, and a landing craft perched on a natural bridge at sunrise",Oceanic,Zephyria-7,"Beneath Zephyria-7's forty-kilometer ice shell lies a subsurface ocean potentially harboring chemosynthetic life around hydrothermal vents, making it a compelling research target despite extreme surface conditions and constant radiation bombardment. The planet's thin atmosphere and tidal heating from its parent gas giant create a harsh but scientifically rich environment that demands advanced exploration protocols and substantial investment.",48.26
17,Nebulon-9,Bellatrix Sigma,Wide binary,super-Earth,1.0559977158033669,3.478678364216887,8.237417321080612,0.9112482532413512,5.967426014868973,49.804079400574366,0.2476571756109641,20.188692798739673,0.4837436447453442,N2 90% O2 8% Ar 2%,8.0,2.34,0.12,global ocean,ice,deep abyssal ocean,0.7534590193789974,0.3571354398019572,rare,extreme,strong,high,1.0,no,none,2.0,13.0,moderate,,72.0,78.0,seismic,Research Outpost Only,"Successful landing despite magnetic anomalies that nearly scrambled our guidance systems. This planet defies easy categorization. The ruins - and they are definitely ruins - stretch across the valley floor in geometric patterns that suggest intentional design. No biological signatures, no radiation beyond background levels, no obvious hazards, yet everything about this place screams abandonment. The structures are composed of a metallic alloy that resists our analysis tools. Age estimates range from ten thousand to ten million years. Atmosphere is thin but breathable with supplementation. Gravity is light, point-seven-eight standard, making movement almost bouncy. The star is a stable K-type, providing consistent illumination that casts long shadows across the archaeological site. We've documented what appear to be transportation networks, residential blocks, and a central structure that might have been administrative or religious. No bodies, no artifacts beyond the architecture itself. Dr. Yuen suggests a planned evacuation rather than catastrophic event. The silence is oppressive. Wind whistles through empty corridors. We're proceeding with extreme caution, documenting everything. This discovery will rewrite our understanding of galactic history. Recommend immediate dispatch of specialized archaeological teams and extended mission parameters. Whatever civilization built this deserves to be remembered.",162.88225739563995,116.03832916606402,"Wide-angle scene of a high-gravity super-Earth with compressed vegetation hugging the ground, dense fog rolling through metallic-blue mineral deposits, and a reinforced landing craft dwarfed by the massive landscape under a bright white sun",Seismic-Active,Nebulon-9,"Beneath the frozen crust of this low-gravity super-Earth lies a hidden ocean world wracked by relentless seismic violence, its extreme geological activity powered by a binary star system's tidal forces. The discovery of geometric metallic ruins scattered across the ice suggests this world once harbored an advanced civilization—now vanished, leaving only questions and the whisper of wind through abandoned corridors.",55.58
18,Stormwatch,Minkar Phi-3,Triple star system,ocean world,1.5429086002862138,567.8,18.5,2.1,8.0,62.0,0.82,8.2,0.72,N2 65% O2 18% CO2 12% H2O 5%,18.0,12.0,0.1,seas,rocky,dust storm corridors,0.4910122092164886,71.0,rare,high,weak,low,4.0,no,microbial,2.0,24.0,high,5.0,51.0,42.0,storms,Not Viable,"Touchdown in the equatorial desert region. Sand extends to every horizon, broken only by wind-carved rock formations and occasional impact craters. The star blazes white-hot overhead, driving surface temperatures to fifty-eight Celsius in direct sunlight. Atmosphere is thin, pressure at point-four standard, requiring supplemental oxygen. Water is scarce - subsurface ice detected at depth, but surface conditions are arid. The sand itself is unusual, composed of silicate crystals that refract light in rainbow patterns. Beautiful but harsh. Wind is constant, creating dune systems that shift daily. We've deployed anchored habitats to prevent burial. No biological activity detected in initial surveys, though we're checking subsurface samples for extremophile microbes. Mineral scans indicate significant rare-earth deposits beneath the sand seas. This world's value is extractive rather than habitable. Solar energy potential is extreme - panels here would operate at peak efficiency. Establishing mining assessment outpost. Crew is struggling with the heat and isolation. The emptiness is profound, broken only by the whisper of sand against our equipment. Nights are brutally cold, temperature swings of eighty degrees. This is a world for machines and desperate prospectors, not families. Recommend automated extraction operations with minimal human presence. The desert keeps its secrets well.",123.43296965855306,65.48117610905265,"Wide shot of an ancient artificial world with geometric metal structures half-buried in red sand, a dying orange star low on the horizon, and mysterious glyphs visible on weathered surfaces with exploration equipment in the foreground",,,,70.02
19,Rubicon Drift,,Triple star system,terrestrial,1.0758772063995363,3.8070814972432423,65.84012128563616,0.6861406279933864,21.285942636068754,58.2784538857803,0.3392362366730181,,1.1955454419090268,CO2 75% N2 20% CH4 5%,0.0,75.0,5.0,none,rocky,volcanic ash plains,0.5110060480328944,0.3767649793245806,rare,extreme,strong,high,1.0,no,none,1.0,87.0,high,9.0,92.0,72.0,seismic,Not Viable,"Touch down confirmed. This place is hell with a view. Atmospheric pressure at three-point-seven standard - we're effectively underwater in terms of suit stress. The sulfur dioxide concentrations make every seal critical. Volcanic activity visible on three horizons, with lava flows creating new geography in real-time. Surface temperature fluctuates wildly between thermal vents and shadow zones. The sky burns orange-red, choked with ash that our filters are already struggling to process. Seismic sensors registered four significant tremors in the first hour alone. Despite the hostility, there's something mesmerizing about the raw geological violence on display. Mineral scans are off the charts - iridium, platinum group metals, and several compounds we can't immediately identify. This world is a treasure trove if we can survive long enough to extract anything. Radiation levels are elevated but manageable with shielding. No biological activity detected, which is unsurprising given the conditions. The science team is excited; the engineers are calculating survival odds. Establishing hardened research station in a lava tube system for thermal stability. Mission duration limited to two weeks maximum before we risk equipment failure. Every moment here feels borrowed.",,,"Wide vista of a desert world with massive sand dunes stretching to the horizon under a binary sunset creating pink and amber skies, with ancient dried riverbeds visible and exploration tracks leading to a small base",,Rubicon Drift,,56.86
20,Opaline,Iota Draconis,K-type orange dwarf,relic/artificial world,0.438974554936366,5.877656473117497,14.226020088890794,0.3186056341094063,8.0,42.09565505374324,0.5379566367564569,3.7257927460800895,0.141132866896052,N2 95% O2 3% CO2 2%,3.0,2.0,0.5,seas,sandy,phosphorescent tide zones,0.71,45.0,rare,extreme,moderate,extreme,1.0,no,none,2.0,38.0,moderate,4.0,77.0,34.0,radiation,Not Viable,"Landing confirmed in the northern temperate zone. This planet is remarkably Earth-like, almost suspiciously so. Oxygen at twenty-one percent, nitrogen dominant, trace gases within normal parameters. Temperature is mild, gravity at one-point-zero-two standard feels like home. The landscape is forested with towering vegetation analogues, some reaching heights of sixty meters. Biodiversity appears exceptional. We've catalogued forty-three distinct species in the first day, including flying fauna and complex invertebrates. Water is abundant in streams and lakes, all testing potable with minimal treatment. Soil is rich and fertile. The star is G-type, providing familiar yellow-white light. Day length is twenty-six hours, close enough to human circadian rhythms to avoid major adjustment issues. This world seems almost designed for human habitation. Dr. Alvarez is cautiously optimistic but warns against complacency - Earth-like doesn't mean safe. We're conducting extensive biological surveys to identify potential pathogens or allergens. No large predators observed yet, but we're maintaining defensive perimeters. Magnetic field is strong, radiation levels are low, seismic activity is minimal. If the long-term studies confirm initial impressions, this could be a priority colonization target. The crew is energized by the familiar environment. Establishing permanent research station with expansion potential. This might be the world we've been searching for.",,,"Wide-angle view of a high-radiation world with electromagnetic phenomena creating visible purple and green energy curtains in the atmosphere, barren metallic terrain reflecting the spectacle, and a heavily shielded rover in the foreground",,Opaline,"A desolate relic world orbiting an orange dwarf, Opaline presents a paradox of ancient artificial construction and extreme environmental hostility. Phosphorescent tide zones shimmer across sandy plains beneath a radiation-scarred sky, making this enigmatic world a research priority despite its prohibitive colonization challenges.",59.19
